grade,count,ecl_baseline,ecl_adverse,ecl_severe,ecl_final,overlay_multiplier
A,204038,6770585.7906,6522015.4352,6487095.2859,6639316.5831,0.9806
B,347299,42087099.1604,39794442.0146,39513678.9528,40884617.9751,0.9714
C,332304,112109837.7841,104999313.2504,104081763.6075,108371065.5887,0.9667
D,175155,95633470.5926,89554277.8179,88779086.4198,92438835.9256,0.9666
E,84313,90484251.3214,84894513.1496,84167759.2697,87544031.4595,0.9675
F,29238,43527785.1985,41289868.8948,40988455.2944,42348544.3266,0.9729
G,7340,12923470.7175,12301360.762,12215818.7813,12595307.3436,0.9746
