decile,rows,pred_pd_mean,observed_default_rate,lift
1,35309,0.041544,0.048713,0.20944
2,35308,0.075333,0.094851,0.407811
3,35308,0.103328,0.129829,0.558199
4,35308,0.128216,0.165118,0.709925
5,35309,0.15331,0.199071,0.855905
6,35308,0.180984,0.232384,0.999132
7,35308,0.214246,0.269599,1.159139
8,35308,0.257265,0.31888,1.371021
9,35308,0.321176,0.370681,1.59374
10,35309,0.452794,0.496729,2.135683
