bin_low,bin_high,count,pct_of_total
0.0,0.05,97,0.04
0.05,0.1,66,0.03
0.1,0.15,469,0.2
0.15,0.2,320,0.14
0.2,0.25,67,0.03
0.25,0.3,89,0.04
0.3,0.35,117,0.05
0.35,0.4,132,0.06
0.4,0.45,305,0.13
0.45,0.5,504,0.22
0.5,0.55,926,0.4
0.55,0.6,3573,1.52
0.6,0.65,6181,2.64
0.65,0.7,2658,1.13
0.7,0.75,1746,0.74
0.75,0.8,2107,0.9
0.8,0.85,15915,6.79
0.85,0.9,67495,28.79
0.9,0.95,45620,19.46
0.95,1.0,86024,36.7
