Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.50)",459834,0.5562929770482601,384421,75413,0.16400048713231297,0.14096204002002244,0.010565943509393685,0.0013196505424886984
"[0.50, 1.50)",226956,0.27456436213712976,182200,44756,0.19720121961966197,-0.08391712135120355,0.00198493442057945,0.000248044025730961
"[1.50, 2.50)",89658,0.10846548044771136,69796,19862,0.2215307055700551,-0.23102824917677012,0.006214985237216917,0.0007751500493976427
"[2.50, inf)",50156,0.06067718036689878,37883,12273,0.2446965467740649,-0.36069585719935304,0.008801350997068417,0.0010942435009752378
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.02756721416425847,0.00343708811859254
