Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"<ArrowStringArray>
['A']
Length: 1, dtype: str",146430,0.17714649336320656,138276,8154,0.05568531038721573,1.3429464911912294,0.20349444291086594,0.023682623635131236
"<ArrowStringArray>
['B']
Length: 1, dtype: str",241511,0.29217255179021634,212447,29064,0.12034234465510887,0.5013956583409913,0.06229046831480642,0.007705759336652136
"<ArrowStringArray>
['C']
Length: 1, dtype: str",225234,0.27248113969929977,179362,45872,0.20366374526048464,-0.12424539135266865,0.004372166611101425,0.0005461695726204918
"<ArrowStringArray>
['D']
Length: 1, dtype: str",126002,0.15243332962337466,90560,35442,0.28128124950397615,-0.5496815353298672,0.054090533087295535,0.006677460063141332
"<ArrowStringArray>
['E', 'F', 'G']
Length: 3, dtype: str",87427,0.10576648552390262,53655,33772,0.38628798883640064,-1.0248539876597496,0.14570279624944055,0.017455429450946178
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.4699504071735099,0.056067442058491374
