Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"<ArrowStringArray>
['Not Verified']
Length: 1, dtype: str",244094,0.2952973854469613,211295,32799,0.13437036551492457,0.37506064195165867,0.03675684290265271,0.0045678631379110005
"<ArrowStringArray>
['Source Verified']
Length: 1, dtype: str",308529,0.3732488591877126,247339,61190,0.1983281960528832,-0.09102050441800658,0.0031815054761645287,0.0003975509605238358
"<ArrowStringArray>
['Verified']
Length: 1, dtype: str",273981,0.33145375536532606,215666,58315,0.21284322635511221,-0.17992502773669505,0.011344034928677957,0.0014160947451763387
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.05128238330749519,0.006381508843611175
