Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 2012.50)",93151,0.11269120401062661,78837,14314,0.15366448025249327,0.21834775826216002,0.005007525510290362,0.0006247002208068439
"[2012.50, 2013.50)",134804,0.16308171748503517,113780,21024,0.15595976380522833,0.2008055247887146,0.006164376276337861,0.0007692550282351347
"[2013.50, 2014.50)",223103,0.26990312168825703,181941,41162,0.1844977431948472,-0.0016296341855768226,7.171526198646353e-07,8.964406757854535e-08
"[2014.50, inf)",375546,0.45432395681608123,299742,75804,0.20185010624530683,-0.11302554929210484,0.006012042231308876,0.0007511055212970508
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.017184661170556965,0.002145150414406608
