Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.50)",312423,0.3779597001708194,246055,66368,0.21242994273789062,-0.17745651666017914,0.012573808117872617,0.0015696669675224345
"[0.50, 1.50)",130240,0.1575603311863964,105571,24669,0.18941185503685504,-0.0339602745437253,0.0001836661447932979,2.2957164922116427e-05
"[1.50, 2.50)",108683,0.13148133810143672,89628,19055,0.1753264079938905,0.060541644605519584,0.0004727361859817035,5.9083000341078216e-05
"[2.50, 3.50)",83039,0.10045801859173195,69501,13538,0.16303182841797229,0.14804400263843887,0.0020997554320683408,0.00026223000180265786
"[3.50, 5.50)",97810,0.11832751837639305,82669,15141,0.15480012268684185,0.2096417946471616,0.00486090496037289,0.0006065028759319867
"[5.50, inf)",47130,0.0570164189866006,40483,6647,0.14103543390621684,0.3189199156140552,0.0052284044407281,0.0006507948736380834
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,47279,0.057196674586621886,40393,6886,0.14564605850377546,0.28136954547993565,0.004133711576095366,0.000515016180879002
,826604,1.0,674300,152304,0.1842526772190795,,0.029552986857912314,0.003686251065037359
