Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"<ArrowStringArray>
['ANY', 'NONE', 'MORTGAGE']
Length: 3, dtype: str",409504,0.49540529685314855,342756,66748,0.16299718684066578,0.14829789724342124,0.010389563543923903,0.0012975066977123396
"<ArrowStringArray>
['OTHER', 'OWN']
Length: 2, dtype: str",81566,0.09867602866668924,66074,15492,0.1899320795429468,-0.03734502782532845,0.000139244362300103,1.7404533913738035e-05
"<ArrowStringArray>
['RENT']
Length: 1, dtype: str",335534,0.4059186744801622,265470,70064,0.20881341384181634,-0.15570386234326095,0.010327859978134898,0.0012896799850570864
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.020856667884358904,0.0026045912166831643
